"Search query: (""Haemorrhagic fever with renal syndrome"" OR ""Hantavirus pulmonary syndrome"") OR (""Hantaan virus"" OR ""Dobrova virus"" OR ""Seoul virus"" OR ""Saaremaa virus"" OR ""Amur virus"" OR ""Puumala virus"" OR ""Sin Nombre virus"" OR ""Monongahela virus"" OR ""New York virus"" OR ""Black Creek Canal virus"" OR ""Bayou virus"" OR ""Choclo virus"" OR ""Andes virus"" OR ""Bermejo virus"" OR ""Lechiguanas virus"" OR ""Maciel virus"" OR ""Oran virus"" OR ""Laguna Negra virus"")"
Year,Count
2025,58
2024,114
2023,98
2022,92
2021,134
2020,108
2019,123
2018,85
2017,116
2016,117
2015,110
2014,139
2013,121
2012,131
2011,112
2010,116
2009,124
2008,123
2007,123
2006,87
2005,78
2004,93
2003,99
2002,94
2001,84
2000,80
1999,78
1998,78
1997,77
1996,95
1995,86
1994,81
1993,41
1992,28
1991,27
1990,24
1989,23
1988,21
1987,23
1986,20
1985,26
1984,17
1983,14
1982,10
1981,5
1980,4
1978,3
1972,1
1969,1
1968,1
1959,2
