"Search query: (Lassa fever) OR (""Lassa mammarenavirus"" OR ""Mammarenavirus lassaense"" OR ""Lassa virus"")"
Year,Count
2025,74
2024,129
2023,126
2022,116
2021,137
2020,127
2019,136
2018,117
2017,79
2016,72
2015,69
2014,47
2013,50
2012,56
2011,49
2010,49
2009,33
2008,25
2007,33
2006,29
2005,27
2004,29
2003,21
2002,21
2001,30
2000,23
1999,5
1998,9
1997,14
1996,9
1995,4
1994,5
1993,13
1992,19
1991,15
1990,24
1989,29
1988,19
1987,24
1986,22
1985,21
1984,20
1983,17
1982,30
1981,13
1980,16
1979,20
1978,37
1977,23
1976,12
1975,44
1974,15
1973,9
1972,7
1970,8
