"Search query: ((Lassa fever) OR (""Lassa mammarenavirus"" OR ""Mammarenavirus lassaense"" OR ""Lassa virus"")) AND (Rodent*)"
Year,Count
2025,12
2024,21
2023,27
2022,16
2021,24
2020,18
2019,23
2018,13
2017,9
2016,12
2015,13
2014,7
2013,9
2012,6
2011,8
2010,6
2009,4
2008,3
2007,6
2006,4
2005,2
2004,3
2002,1
2001,5
2000,3
1998,3
1997,1
1996,4
1994,1
1992,2
1991,1
1989,3
1988,2
1987,3
1986,3
1985,2
1983,3
1982,1
1981,1
1980,2
1979,1
1978,5
1977,1
1976,1
1975,12
1974,2
1972,1
