"Search query: ((""Lyme disease"" OR ""Lyme borreliosis"") OR (""Borrelia garinii"" OR ""Borrelia afzelii"" OR ""Borrelia burgdorferi"")) AND (Rodent*)"
Year,Count
2025,17
2024,28
2023,25
2022,33
2021,37
2020,32
2019,27
2018,26
2017,30
2016,27
2015,21
2014,21
2013,32
2012,16
2011,24
2010,13
2009,14
2008,18
2007,8
2006,16
2005,21
2004,20
2003,13
2002,11
2001,11
2000,13
1999,17
1998,16
1997,17
1996,17
1995,21
1994,18
1993,19
1992,13
1991,17
1990,7
1989,8
1988,6
1987,7
1986,4
1985,3
1984,1
