"Search query: ((""Western Tick Borne Encephalitis"" OR ""Tick-borne encephalitis"" OR ""Tick-borne meningoencephalitis"") OR (""Tick Borne Encephalitis Virus"" OR ""TBEV"" OR ""Central European encephalitis virus"" OR ""West Siberian virus"" OR ""Russian Spring Summer encephalitis virus"")) AND (Rodent*)"
Year,Count
2025,4
2024,2
2023,6
2022,5
2021,5
2020,8
2019,12
2018,7
2017,9
2016,14
2015,9
2014,7
2013,7
2012,9
2011,13
2010,6
2009,5
2008,5
2007,3
2006,4
2005,1
2004,4
2003,2
2002,4
2001,2
2000,4
1999,7
1998,1
1997,1
1996,2
1994,1
1993,4
1992,2
1991,1
1990,3
1988,1
1987,1
1986,1
1985,1
1984,2
1983,1
1982,1
1981,4
1980,2
1979,3
1978,2
1976,2
1975,1
1974,3
1973,3
1972,4
1971,5
1970,2
1969,4
1968,5
1967,10
1966,3
1964,2
1963,2
1958,1
