"Search query: (""Hantaan virus""[Title/Abstract] OR ""Dobrova virus""[Title/Abstract] OR ""Seoul virus""[Title/Abstract] OR ""Saaremaa virus""[Title/Abstract] OR ""Amur virus""[Title/Abstract] OR ""Puumala virus""[Title/Abstract] OR ""Sin Nombre virus""[Title/Abstract] OR ""Monongahela virus""[Title/Abstract] OR ""New York virus""[Title/Abstract] OR ""Black Creek Canal virus""[Title/Abstract] OR ""Bayou virus""[Title/Abstract] OR ""Choclo virus""[Title/Abstract] OR ""Andes virus""[Title/Abstract] OR ""Bermejo virus""[Title/Abstract] OR ""Lechiguanas virus""[Title/Abstract] OR ""Maciel virus""[Title/Abstract] OR ""Oran virus""[Title/Abstract] OR ""Laguna Negra virus""[Title/Abstract]) OR (""Haemorrhagic fever with renal syndrome""[Title/Abstract] OR ""Hantavirus pulmonary syndrome""[Title/Abstract])"
Year,Count
2024,65
2023,77
2022,68
2021,95
2020,84
2019,93
2018,60
2017,94
2016,94
2015,93
2014,110
2013,95
2012,102
2011,87
2010,94
2009,98
2008,98
2007,108
2006,66
2005,60
2004,66
2003,73
2002,72
2001,58
2000,61
1999,64
1998,67
1997,57
1996,72
1995,73
1994,69
1993,36
1992,28
1991,27
1990,24
1989,23
1988,21
1987,23
1986,20
1985,26
1984,17
1983,14
1982,10
1981,5
1980,3
1978,2
1976,1
1972,1
1969,1
1968,1
