"Search query: ((""Hantaan virus""[Title/Abstract] OR ""Dobrova virus""[Title/Abstract] OR ""Seoul virus""[Title/Abstract] OR ""Saaremaa virus""[Title/Abstract] OR ""Amur virus""[Title/Abstract] OR ""Puumala virus""[Title/Abstract] OR ""Sin Nombre virus""[Title/Abstract] OR ""Monongahela virus""[Title/Abstract] OR ""New York virus""[Title/Abstract] OR ""Black Creek Canal virus""[Title/Abstract] OR ""Bayou virus""[Title/Abstract] OR ""Choclo virus""[Title/Abstract] OR ""Andes virus""[Title/Abstract] OR ""Bermejo virus""[Title/Abstract] OR ""Lechiguanas virus""[Title/Abstract] OR ""Maciel virus""[Title/Abstract] OR ""Oran virus""[Title/Abstract] OR ""Laguna Negra virus""[Title/Abstract]) OR (""Haemorrhagic fever with renal syndrome""[Title/Abstract] OR ""Hantavirus pulmonary syndrome""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,28
2023,26
2022,25
2021,29
2020,28
2019,28
2018,23
2017,32
2016,30
2015,32
2014,43
2013,28
2012,33
2011,31
2010,30
2009,39
2008,42
2007,40
2006,20
2005,18
2004,25
2003,24
2002,21
2001,23
2000,12
1999,23
1998,22
1997,19
1996,22
1995,22
1994,13
1993,4
1992,1
1991,6
1990,1
1989,7
1988,3
1987,5
1986,4
1985,5
1984,2
1983,3
1982,4
1981,2
