"Search query: ((""Haemorrhagic fever with renal syndrome"" OR ""Hantavirus pulmonary syndrome"") OR (""Hantaan virus"" OR ""Dobrova virus"" OR ""Seoul virus"" OR ""Saaremaa virus"" OR ""Amur virus"" OR ""Puumala virus"" OR ""Sin Nombre virus"" OR ""Monongahela virus"" OR ""New York virus"" OR ""Black Creek Canal virus"" OR ""Bayou virus"" OR ""Choclo virus"" OR ""Andes virus"" OR ""Bermejo virus"" OR ""Lechiguanas virus"" OR ""Maciel virus"" OR ""Oran virus"" OR ""Laguna Negra virus"")) AND (Rodent*)"
Year,Count
2024,45
2023,32
2022,30
2021,37
2020,38
2019,44
2018,29
2017,42
2016,36
2015,40
2014,55
2013,42
2012,45
2011,41
2010,41
2009,55
2008,60
2007,53
2006,31
2005,23
2004,37
2003,30
2002,29
2001,29
2000,20
1999,30
1998,27
1997,23
1996,30
1995,22
1994,17
1993,4
1992,1
1991,7
1990,2
1989,9
1988,4
1987,5
1986,4
1985,8
1984,2
1983,5
1982,4
1981,2
1959,1
