"Search query: (Lassa fever[Title/Abstract]) OR (""Lassa mammarenavirus""[Title/Abstract] OR ""Mammarenavirus lassaense""[Title/Abstract] OR ""Lassa virus""[Title/Abstract])"
Year,Count
2024,78
2023,119
2022,109
2021,118
2020,115
2019,128
2018,103
2017,61
2016,62
2015,56
2014,40
2013,44
2012,48
2011,47
2010,41
2009,27
2008,24
2007,31
2006,24
2005,21
2004,27
2003,18
2002,18
2001,26
2000,22
1999,5
1998,8
1997,9
1996,7
1995,2
1994,5
1993,11
1992,14
1991,15
1990,17
1989,26
1988,15
1987,21
1986,18
1985,15
1984,16
1983,11
1982,18
1981,7
1980,11
1979,11
1978,14
1977,12
1976,10
1975,30
1974,12
1973,6
1972,7
1970,8
