"Search query: (""Lassa fever"") OR (""Lassa mammarenavirus"" OR ""Mammarenavirus lassaense"" OR ""Lassa virus"")"
Year,Count
2024,113
2023,121
2022,113
2021,128
2020,125
2019,134
2018,112
2017,76
2016,68
2015,62
2014,44
2013,48
2012,54
2011,47
2010,45
2009,29
2008,25
2007,32
2006,29
2005,27
2004,28
2003,20
2002,21
2001,29
2000,23
1999,5
1998,9
1997,13
1996,9
1995,4
1994,5
1993,13
1992,19
1991,15
1990,23
1989,28
1988,18
1987,23
1986,22
1985,21
1984,20
1983,17
1982,28
1981,12
1980,16
1979,20
1978,37
1977,23
1976,12
1975,44
1974,15
1973,9
1972,7
1970,8
