Search query: (Leptospira interrogans OR leptospira alexandri OR leptospira faini OR leptospira inada OR Leptospira kirschneri OR Leptospira meyeri OR Leptospira borgpetersenii OR Leptospira weillii OR leptospira noguchi OR Leptospira santarosai OR Leptospirosis OR Weil's disease) AND rodent
Year,Count
2023,23
2022,81
2021,82
2020,89
2019,88
2018,91
2017,98
2016,71
2015,81
2014,100
2013,90
2012,63
2011,75
2010,71
2009,54
2008,60
2007,54
2006,44
2005,35
2004,23
2003,19
2002,28
2001,20
2000,20
1999,13
1998,14
1997,27
1996,20
1995,13
1994,15
1993,14
1992,20
1991,18
1990,20
1989,29
1988,23
1987,19
1986,26
1985,22
1984,13
1983,32
1982,29
1981,22
1980,30
1979,19
1978,12
1977,21
1976,25
1975,40
1974,30
1973,33
1972,33
1971,25
1970,36
1969,22
1968,17
1967,22
1966,22
1965,27
1964,35
1963,16
1962,9
1961,13
1960,8
1959,4
1958,8
1957,10
1956,5
1955,12
1954,6
1953,5
1952,5
1951,4
1950,2
1949,1
1948,4
1947,1
1946,2
1945,2
1937,1
1930,2
