"Search query: (""Leptospirosis""[Title/Abstract] OR ""Weil's disease""[Title/Abstract]) OR (""Leptospira interrogans""[Title/Abstract] OR ""Leptospira alexandri""[Title/Abstract] OR ""Leptospira faini""[Title/Abstract] OR ""Leptospira inada""[Title/Abstract] OR ""Leptospira kirschneri""[Title/Abstract] OR ""Leptospira meyeri""[Title/Abstract] OR ""Leptospira borgpetersenii""[Title/Abstract] OR ""Leptospira weillii""[Title/Abstract] OR ""leptospira noguchi""[Title/Abstract] OR ""Leptospira santarosai""[Title/Abstract])"
Year,Count
2024,18
2023,343
2022,394
2021,390
2020,388
2019,354
2018,374
2017,332
2016,290
2015,342
2014,357
2013,305
2012,268
2011,240
2010,240
2009,191
2008,195
2007,202
2006,174
2005,191
2004,147
2003,149
2002,144
2001,106
2000,113
1999,110
1998,84
1997,100
1996,79
1995,70
1994,80
1993,86
1992,104
1991,108
1990,108
1989,117
1988,85
1987,93
1986,98
1985,91
1984,99
1983,90
1982,95
1981,72
1980,83
1979,83
1978,59
1977,77
1976,89
1975,66
1974,53
1973,77
1972,54
1971,64
1970,77
1969,77
1968,78
1967,76
1966,92
1965,94
1964,141
1963,90
1962,80
1961,96
1960,89
1959,84
1958,134
1957,120
1956,117
1955,127
1954,104
1953,89
1952,107
1951,73
1950,43
1949,28
1948,52
1947,40
1946,35
1945,23
1944,4
1943,2
1942,2
1941,3
1940,4
1939,10
1938,4
1937,4
1936,2
1935,2
1934,5
1931,1
1930,1
1929,1
1928,3
1926,2
1918,2
1917,2
1916,5
1910,1
1890,1
1889,1
1888,1
