Search query: Borrelia garinii OR Borrelia afzelii OR Borrelia burgdorferi OR Lyme disease
Year,Count
2023,257
2022,680
2021,728
2020,695
2019,689
2018,721
2017,615
2016,636
2015,681
2014,600
2013,548
2012,500
2011,493
2010,486
2009,467
2008,496
2007,450
2006,481
2005,397
2004,390
2003,438
2002,446
2001,477
2000,468
1999,453
1998,493
1997,457
1996,468
1995,488
1994,450
1993,575
1992,439
1991,454
1990,383
1989,419
1988,248
1987,210
1986,166
1985,95
1984,97
1983,34
1982,13
1981,6
1980,7
1979,5
1978,2
1977,1
1965,1
1964,2
1963,5
1962,6
1961,3
1959,3
1958,5
1957,2
1956,5
1955,10
1954,4
1953,5
1952,6
1951,12
1950,3
1949,2
1948,3
1947,1
1946,6
1945,1
