"Search query: (Plague[Title/Abstract]) OR (""Yersinia pestis""[Title/Abstract])"
Year,Count
2024,209
2023,333
2022,370
2021,426
2020,455
2019,317
2018,301
2017,301
2016,325
2015,321
2014,356
2013,342
2012,378
2011,372
2010,381
2009,335
2008,308
2007,292
2006,289
2005,244
2004,251
2003,233
2002,198
2001,184
2000,178
1999,175
1998,156
1997,150
1996,104
1995,167
1994,173
1993,129
1992,113
1991,113
1990,136
1989,116
1988,102
1987,83
1986,81
1985,93
1984,78
1983,100
1982,89
1981,78
1980,84
1979,92
1978,82
1977,83
1976,91
1975,94
1974,71
1973,72
1972,73
1971,63
1970,70
1969,68
1968,87
1967,76
1966,55
1965,72
1964,64
1963,105
1962,53
1961,55
1960,77
1959,48
1958,50
1957,44
1956,35
1955,41
1954,49
1953,40
1952,51
1951,100
1950,81
1949,43
1948,58
1947,46
1946,41
1945,19
1944,5
1943,3
1942,1
1941,6
1940,6
1939,8
1938,7
1937,4
1936,7
1935,8
1934,5
1933,6
1932,4
1931,3
1930,5
1929,3
1928,2
1927,10
1926,6
1925,5
1924,12
1923,7
1922,3
1921,6
1920,7
1919,8
1918,11
1917,9
1916,5
1915,14
1914,16
1913,7
1912,22
1911,11
1910,24
1909,10
1908,30
1907,23
1906,44
1905,24
1904,16
1903,14
1902,18
1901,19
1900,39
1899,22
1898,42
1897,41
1896,7
1895,3
1894,9
1893,2
1892,5
1891,1
1889,3
1886,1
1884,2
1883,1
1882,4
1881,1
1880,4
1879,11
1878,2
1877,1
1876,4
1872,1
1869,2
1867,1
1865,1
1864,1
1862,1
1861,1
1858,2
1857,3
1855,1
1849,1
1848,1
1847,3
1845,3
1844,1
1843,6
1842,1
1841,1
1840,1
1839,2
1838,2
1831,1
1829,1
1826,1
1821,2
1816,1
1815,1
1814,1
1812,1
1809,1
1806,1
1801,2
1797,1
