"Search query: (""Schistosoma mansoni""[Title/Abstract] OR "" Schistosoma japonicum""[Title/Abstract] OR "" Schistosoma haematobium""[Title/Abstract] OR ""Schistosoma mekongi""[Title/Abstract] OR "" Schistosoma intercalatum""[Title/Abstract]) OR (""Schistosomiasis""[Title/Abstract] OR ""Bilharzia""[Title/Abstract])"
Year,Count
2024,44
2023,699
2022,785
2021,865
2020,889
2019,796
2018,780
2017,800
2016,820
2015,831
2014,908
2013,848
2012,828
2011,835
2010,648
2009,580
2008,558
2007,494
2006,596
2005,496
2004,505
2003,478
2002,490
2001,481
2000,469
1999,464
1998,541
1997,495
1996,463
1995,458
1994,451
1993,434
1992,507
1991,456
1990,427
1989,521
1988,424
1987,527
1986,492
1985,460
1984,475
1983,437
1982,421
1981,412
1980,385
1979,355
1978,366
1977,318
1976,303
1975,254
1974,234
1973,205
1972,230
1971,176
1970,164
1969,174
1968,147
1967,187
1966,183
1965,205
1964,291
1963,221
1962,221
1961,173
1960,147
1959,138
1958,171
1957,151
1956,177
1955,160
1954,137
1953,142
1952,120
1951,117
1950,85
1949,75
1948,77
1947,90
1946,94
1945,29
1941,1
1935,1
1933,1
1931,1
1930,1
1929,1
1928,2
1927,2
1926,2
1925,2
1924,3
1923,4
1922,2
1921,4
1920,1
1919,4
1918,2
1916,2
1915,1
1914,3
1912,1
1910,1
1903,2
1902,3
1885,1
1882,1
1880,1
1878,1
1872,1
