"Search query: (""Western Tick Borne Encephalitis"" OR ""Tick-borne encephalitis"" OR ""Tick-borne meningoencephalitis"") OR (""Tick Borne Encephalitis Virus"" OR ""TBEV"" OR ""Central European encephalitis virus"" OR ""West Siberian virus"" OR ""Russian Spring Summer encephalitis virus"")"
Year,Count
2025,1
2024,178
2023,196
2022,201
2021,178
2020,191
2019,186
2018,172
2017,145
2016,156
2015,132
2014,142
2013,124
2012,129
2011,140
2010,117
2009,95
2008,100
2007,100
2006,98
2005,85
2004,94
2003,83
2002,83
2001,72
2000,63
1999,63
1998,71
1997,64
1996,63
1995,49
1994,52
1993,59
1992,50
1991,61
1990,65
1989,81
1988,49
1987,43
1986,48
1985,47
1984,59
1983,45
1982,52
1981,64
1980,59
1979,44
1978,54
1977,45
1976,64
1975,57
1974,41
1973,65
1972,47
1971,50
1970,48
1969,60
1968,67
1967,90
1966,72
1965,31
1964,51
1963,37
1962,44
1961,28
1960,49
1959,48
1958,38
1957,22
1956,23
1955,9
1954,15
1953,3
1952,1
1951,2
1950,1
1948,1
1945,1
1944,1
