"Search query: ((""Toxoplasmosis""[Title/Abstract]) OR (""Toxoplasma gondii""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,3
2023,23
2022,21
2021,31
2020,40
2019,30
2018,21
2017,21
2016,28
2015,15
2014,25
2013,27
2012,18
2011,13
2010,19
2009,10
2008,7
2007,13
2006,7
2005,6
2004,3
2003,2
2002,4
2001,4
2000,5
1999,5
1998,4
1997,9
1996,2
1995,4
1994,3
1993,1
1992,1
1991,4
1990,3
1988,2
1987,1
1986,2
1985,1
1983,4
1980,1
1978,4
1976,4
1972,1
1965,1
1964,3
1963,2
1961,2
1954,1
1953,1
1952,1
