Search query: Yersinia pestis OR Plague
Year,Count
2023,174
2022,518
2021,560
2020,569
2019,414
2018,381
2017,374
2016,400
2015,399
2014,419
2013,404
2012,441
2011,420
2010,433
2009,391
2008,370
2007,342
2006,328
2005,291
2004,319
2003,339
2002,276
2001,275
2000,224
1999,231
1998,199
1997,175
1996,131
1995,196
1994,201
1993,150
1992,136
1991,131
1990,156
1989,141
1988,129
1987,116
1986,107
1985,120
1984,104
1983,125
1982,113
1981,101
1980,113
1979,120
1978,114
1977,124
1976,124
1975,119
1974,110
1973,127
1972,116
1971,104
1970,103
1969,129
1968,117
1967,103
1966,88
1965,90
1964,92
1963,122
1962,62
1961,66
1960,93
1959,59
1958,71
1957,59
1956,56
1955,53
1954,68
1953,50
1952,62
1951,108
1950,89
1949,47
1948,60
1947,47
1946,41
1945,19
1944,5
1943,3
1942,1
1941,6
1940,6
1939,8
1938,8
1937,4
1936,7
1935,9
1934,5
1933,6
1932,4
1931,3
1930,5
1929,3
1928,2
1927,13
1926,6
1925,5
1924,13
1923,8
1922,3
1921,6
1920,8
1919,7
1918,11
1917,9
1916,6
1915,14
1914,16
1913,7
1912,23
1911,11
1910,24
1909,10
1908,31
1907,24
1906,45
1905,26
1904,16
1903,14
1902,18
1901,19
1900,39
1899,23
1898,43
1897,41
1896,7
1895,3
1894,10
1893,2
1892,5
1891,1
1889,3
1886,1
1884,2
1883,1
1882,3
1881,1
1880,4
1879,11
1878,2
1877,1
1876,4
1874,1
1869,1
1867,1
1865,1
1864,1
1862,1
1861,1
1858,1
1857,3
1849,1
1848,1
1847,1
1845,2
1844,1
1843,6
1842,1
1841,1
1840,1
1839,2
1838,2
1831,1
1829,1
1826,1
1825,1
1824,1
1821,2
1816,1
1815,1
1814,1
1812,1
1809,1
1806,1
1801,2
1797,1
