Search query: (Toxoplasmosis OR Toxoplasma Gondii) AND Rodent
Year,Count
2023,71
2022,183
2021,228
2020,244
2019,253
2018,199
2017,206
2016,225
2015,211
2014,230
2013,235
2012,228
2011,210
2010,210
2009,193
2008,173
2007,145
2006,138
2005,142
2004,134
2003,131
2002,124
2001,147
2000,112
1999,144
1998,126
1997,105
1996,127
1995,94
1994,104
1993,95
1992,85
1991,73
1990,59
1989,59
1988,47
1987,55
1986,50
1985,57
1984,59
1983,59
1982,52
1981,66
1980,63
1979,47
1978,54
1977,58
1976,62
1975,66
1974,60
1973,69
1972,74
1971,68
1970,61
1969,59
1968,67
1967,40
1966,48
1965,45
1964,37
1963,25
1962,7
1961,6
1960,8
1959,5
1958,6
1957,7
1956,12
1955,13
1954,12
1953,13
1952,7
1951,6
1950,5
1949,4
1948,1
1947,1
