"Search query: ((Lassa fever[Title/Abstract]) OR (""Lassa mammarenavirus""[Title/Abstract] OR ""Mammarenavirus lassaense""[Title/Abstract] OR ""Lassa virus""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,13
2023,26
2022,16
2021,21
2020,17
2019,20
2018,13
2017,9
2016,12
2015,10
2014,7
2013,8
2012,5
2011,7
2010,5
2009,3
2008,3
2007,6
2006,3
2005,1
2004,3
2001,5
2000,1
1998,3
1996,3
1994,1
1992,1
1991,1
1989,2
1987,2
1983,3
1982,1
1981,1
1980,1
1979,1
1978,3
1976,1
1975,6
1974,2
