Search query: Leptospira interrogans OR leptospira alexandri OR leptospira faini OR leptospira inada OR Leptospira kirschneri OR Leptospira meyeri OR Leptospira borgpetersenii OR Leptospira weillii OR leptospira noguchi OR Leptospira santarosai OR Weil's disease OR Leptospirosis
Year,Count
2023,193
2022,527
2021,545
2020,519
2019,463
2018,476
2017,441
2016,396
2015,452
2014,465
2013,397
2012,359
2011,327
2010,328
2009,260
2008,255
2007,261
2006,242
2005,237
2004,176
2003,183
2002,185
2001,135
2000,150
1999,135
1998,106
1997,133
1996,107
1995,102
1994,115
1993,121
1992,136
1991,130
1990,151
1989,147
1988,127
1987,129
1986,142
1985,128
1984,129
1983,129
1982,133
1981,103
1980,120
1979,117
1978,103
1977,118
1976,130
1975,130
1974,129
1973,157
1972,113
1971,110
1970,137
1969,134
1968,138
1967,137
1966,154
1965,140
1964,169
1963,105
1962,87
1961,104
1960,96
1959,93
1958,139
1957,131
1956,130
1955,145
1954,110
1953,102
1952,118
1951,109
1950,71
1949,33
1948,64
1947,53
1946,44
1945,26
1944,4
1943,2
1942,2
1941,3
1940,4
1939,10
1938,4
1937,4
1936,2
1935,2
1934,5
1933,1
1932,2
1931,2
1930,4
1929,2
1928,4
1926,4
1922,2
1921,3
1920,6
1919,8
1918,7
1917,4
1916,5
1910,1
1890,1
1889,1
