"Search query: ((""Leptospirosis""[Title/Abstract] OR ""Weil's disease""[Title/Abstract]) OR (""Leptospira interrogans""[Title/Abstract] OR ""Leptospira alexandri""[Title/Abstract] OR ""Leptospira faini""[Title/Abstract] OR ""Leptospira inada""[Title/Abstract] OR ""Leptospira kirschneri""[Title/Abstract] OR ""Leptospira meyeri""[Title/Abstract] OR ""Leptospira borgpetersenii""[Title/Abstract] OR ""Leptospira weillii""[Title/Abstract] OR ""leptospira noguchi""[Title/Abstract] OR ""Leptospira santarosai""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,2
2023,33
2022,37
2021,32
2020,39
2019,43
2018,42
2017,41
2016,27
2015,25
2014,41
2013,29
2012,13
2011,18
2010,18
2009,12
2008,15
2007,11
2006,9
2005,8
2004,8
2003,6
2002,12
2001,3
2000,6
1999,3
1998,4
1997,6
1996,4
1995,2
1994,1
1992,4
1991,1
1990,2
1989,7
1988,3
1987,2
1986,2
1985,2
1984,3
1983,3
1982,4
1981,1
1980,1
1979,1
1978,1
1977,4
1976,4
1975,4
1974,1
1972,2
1971,1
1970,1
1968,2
1965,2
1964,10
1963,10
1962,5
1961,6
1960,3
1958,1
1957,4
1954,2
1953,1
1948,1
1937,1
