"Search query: (""Lyme disease""[Title/Abstract] OR ""Lyme borreliosis""[Title/Abstract]) OR (""Borrelia garinii""[Title/Abstract] OR ""Borrelia afzelii""[Title/Abstract] OR ""Borrelia burgdorferi""[Title/Abstract])"
Year,Count
2024,49
2023,574
2022,613
2021,656
2020,617
2019,595
2018,637
2017,548
2016,555
2015,593
2014,517
2013,473
2012,426
2011,403
2010,413
2009,383
2008,410
2007,374
2006,402
2005,321
2004,339
2003,372
2002,379
2001,412
2000,402
1999,409
1998,429
1997,401
1996,412
1995,440
1994,404
1993,511
1992,380
1991,414
1990,349
1989,375
1988,221
1987,181
1986,144
1985,84
1984,83
1983,32
1982,12
1981,5
1980,5
1979,2
