"Search query: (""Lyme disease"" OR ""Lyme borreliosis"") OR (""Borrelia garinii"" OR ""Borrelia afzelii"" OR ""Borrelia burgdorferi"")"
Year,Count
2025,6
2024,620
2023,626
2022,648
2021,697
2020,666
2019,651
2018,696
2017,588
2016,605
2015,658
2014,585
2013,524
2012,473
2011,468
2010,455
2009,444
2008,478
2007,424
2006,462
2005,370
2004,380
2003,423
2002,431
2001,465
2000,451
1999,444
1998,487
1997,452
1996,465
1995,487
1994,446
1993,575
1992,437
1991,449
1990,382
1989,417
1988,248
1987,208
1986,165
1985,95
1984,96
1983,32
1982,12
1981,5
1980,5
1979,2
1964,1
1963,3
1962,1
1961,3
1959,3
1958,4
1957,2
1956,4
1955,6
1954,2
1953,3
1952,5
1951,5
1950,2
1949,2
1948,3
1946,6
1945,1
