"Search query: ((""Lyme disease""[Title/Abstract] OR ""Lyme borreliosis""[Title/Abstract]) OR (""Borrelia garinii""[Title/Abstract] OR ""Borrelia afzelii""[Title/Abstract] OR ""Borrelia burgdorferi""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,14
2023,24
2022,31
2021,32
2020,28
2019,24
2018,25
2017,27
2016,24
2015,19
2014,17
2013,22
2012,14
2011,15
2010,13
2009,14
2008,16
2007,7
2006,11
2005,16
2004,15
2003,10
2002,10
2001,9
2000,12
1999,12
1998,16
1997,13
1996,16
1995,15
1994,14
1993,15
1992,8
1991,10
1990,4
1989,7
1988,5
1987,3
1986,3
1985,1
