"Search query: (""mpox""[Title/Abstract] OR ""monkeypox""[Title/Abstract]) OR (""monkeypox virus""[Title/Abstract] OR ""Orthopoxvirus monkeypox""[Title/Abstract] OR ""MPV""[Title/Abstract] OR ""MPXV""[Title/Abstract])"
Year,Count
2024,1213
2023,2536
2022,2002
2021,442
2020,381
2019,343
2018,323
2017,291
2016,307
2015,331
2014,321
2013,284
2012,205
2011,174
2010,142
2009,136
2008,105
2007,92
2006,86
2005,80
2004,75
2003,72
2002,44
2001,27
2000,33
1999,18
1998,23
1997,34
1996,24
1995,17
1994,32
1993,13
1992,19
1991,19
1990,19
1989,23
1988,21
1987,18
1986,21
1985,22
1984,18
1983,17
1982,13
1981,12
1980,10
1979,11
1978,6
1977,10
1976,9
1975,5
1974,2
1973,4
1972,14
1971,1
1970,3
1969,2
1968,2
1967,1
1964,2
1962,1
