"Search query: (""mpox"" OR ""monkeypox"") OR (""monkeypox virus"" OR ""Orthopoxvirus monkeypox"" OR ""MPV"" OR ""MPXV"")"
Year,Count
2025,995
2024,1933
2023,2596
2022,2037
2021,460
2020,394
2019,362
2018,336
2017,299
2016,317
2015,342
2014,331
2013,289
2012,207
2011,177
2010,145
2009,138
2008,110
2007,97
2006,87
2005,85
2004,82
2003,77
2002,48
2001,30
2000,34
1999,20
1998,26
1997,38
1996,24
1995,17
1994,32
1993,13
1992,19
1991,20
1990,20
1989,27
1988,23
1987,18
1986,23
1985,23
1984,19
1983,18
1982,14
1981,13
1980,14
1979,16
1978,11
1977,16
1976,12
1975,7
1974,2
1973,4
1972,14
1971,1
1970,3
1969,2
1968,2
1967,1
1964,2
1962,1
