"Search query: ((""mpox""[Title/Abstract] OR ""monkeypox""[Title/Abstract]) OR (""monkeypox virus""[Title/Abstract] OR ""Orthopoxvirus monkeypox""[Title/Abstract] OR ""MPV""[Title/Abstract] OR ""MPXV""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,11
2023,29
2022,25
2020,3
2019,5
2018,1
2017,3
2016,1
2015,6
2014,3
2013,3
2012,2
2011,5
2010,8
2009,4
2008,1
2007,3
2006,6
2005,2
2004,8
2003,3
2002,1
2001,1
2000,1
1997,1
1996,2
1994,2
1989,1
1987,2
1986,1
1985,1
1979,1
1977,1
1976,2
1975,1
