"Search query: (""Plague"") OR (""Yersinia pestis"")"
Year,Count
2025,2
2024,328
2023,373
2022,422
2021,481
2020,514
2019,364
2018,330
2017,338
2016,360
2015,356
2014,381
2013,373
2012,404
2011,390
2010,406
2009,363
2008,341
2007,315
2006,313
2005,269
2004,299
2003,313
2002,255
2001,262
2000,215
1999,211
1998,183
1997,167
1996,116
1995,183
1994,189
1993,138
1992,126
1991,124
1990,144
1989,128
1988,120
1987,104
1986,102
1985,116
1984,103
1983,124
1982,112
1981,100
1980,111
1979,117
1978,110
1977,120
1976,119
1975,118
1974,109
1973,125
1972,115
1971,102
1970,102
1969,128
1968,116
1967,102
1966,86
1965,87
1964,92
1963,122
1962,62
1961,66
1960,93
1959,59
1958,71
1957,59
1956,56
1955,53
1954,68
1953,50
1952,62
1951,108
1950,89
1949,46
1948,59
1947,47
1946,41
1945,19
1944,5
1943,3
1942,1
1941,6
1940,6
1939,8
1938,8
1937,4
1936,7
1935,8
1934,5
1933,6
1932,4
1931,3
1930,5
1929,3
1928,2
1927,12
1926,6
1925,5
1924,13
1923,7
1922,3
1921,6
1920,7
1919,8
1918,11
1917,9
1916,5
1915,14
1914,16
1913,7
1912,23
1911,11
1910,24
1909,10
1908,31
1907,24
1906,45
1905,26
1904,16
1903,14
1902,18
1901,19
1900,39
1899,23
1898,43
1897,41
1896,7
1895,3
1894,9
1893,2
1892,5
1891,1
1889,3
1886,1
1884,2
1883,1
1882,4
1881,1
1880,4
1879,11
1878,2
1877,1
1876,4
1872,1
1869,2
1867,1
1865,1
1864,1
1862,1
1861,1
1858,2
1857,3
1855,1
1849,1
1848,1
1847,3
1845,3
1844,1
1843,6
1842,1
1841,1
1840,1
1839,2
1838,2
1831,1
1829,1
1826,1
1825,1
1824,1
1821,2
1816,1
1815,1
1814,1
1812,1
1809,1
1806,1
1801,2
1797,1
