"Search query: ((Plague[Title/Abstract]) OR (""Yersinia pestis""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2024,3
2023,23
2022,25
2021,29
2020,28
2019,21
2018,31
2017,28
2016,24
2015,21
2014,21
2013,24
2012,21
2011,28
2010,17
2009,23
2008,23
2007,16
2006,15
2005,10
2004,16
2003,8
2002,12
2001,18
2000,9
1999,9
1998,5
1997,13
1996,6
1995,3
1994,6
1993,5
1992,5
1991,5
1990,8
1989,6
1988,4
1987,2
1986,7
1985,5
1984,5
1983,5
1982,9
1981,6
1980,6
1979,4
1978,7
1977,3
1976,7
1975,8
1974,2
1973,2
1972,3
1971,7
1970,1
1969,3
1968,4
1967,1
1966,1
1965,6
1964,7
1963,25
1962,5
1961,4
1960,9
1959,2
1958,6
1957,2
1956,3
1955,5
1954,2
1953,9
1952,3
1951,3
1950,1
1949,4
1948,2
1946,1
1939,1
1935,1
1934,1
1928,1
1921,1
1920,2
