"Search query: ((""Plague"") OR (""Yersinia pestis"")) AND (Rodent*)"
Year,Count
2025,1
2024,34
2023,29
2022,34
2021,40
2020,39
2019,33
2018,42
2017,39
2016,30
2015,30
2014,27
2013,31
2012,25
2011,39
2010,25
2009,29
2008,33
2007,24
2006,21
2005,14
2004,33
2003,11
2002,16
2001,25
2000,12
1999,14
1998,6
1997,18
1996,7
1995,5
1994,8
1993,6
1992,8
1991,6
1990,12
1989,11
1988,11
1987,3
1986,7
1985,13
1984,6
1983,9
1982,12
1981,11
1980,10
1979,10
1978,12
1977,12
1976,12
1975,9
1974,11
1973,14
1972,14
1971,18
1970,11
1969,13
1968,12
1967,7
1966,8
1965,12
1964,9
1963,26
1962,5
1961,4
1960,9
1959,2
1958,7
1957,2
1956,3
1955,5
1954,3
1953,9
1952,3
1951,3
1950,1
1949,4
1948,2
1946,1
1939,1
1935,1
1934,1
1928,1
1921,1
1920,2
