Search query: (schistosomiasis OR schistosome OR bilharzia) AND Rodent
Year,Count
2023,36
2022,133
2021,152
2020,172
2019,165
2018,150
2017,171
2016,149
2015,198
2014,203
2013,205
2012,218
2011,239
2010,211
2009,170
2008,158
2007,127
2006,161
2005,148
2004,145
2003,157
2002,152
2001,161
2000,148
1999,171
1998,160
1997,167
1996,149
1995,138
1994,144
1993,143
1992,159
1991,150
1990,146
1989,177
1988,116
1987,193
1986,180
1985,182
1984,181
1983,175
1982,174
1981,149
1980,141
1979,148
1978,144
1977,131
1976,105
1975,101
1974,110
1973,82
1972,82
1971,78
1970,60
1969,87
1968,50
1967,66
1966,63
1965,54
1964,52
1963,35
1962,36
1961,13
1960,6
1959,11
1958,5
1957,13
1956,14
1955,14
1954,3
1953,11
1952,9
1951,2
1950,4
1949,5
1948,5
1946,1
1945,1
