Search query: schistosomiasis OR schistosome OR bilharzia
Year,Count
2023,321
2022,875
2021,955
2020,992
2019,897
2018,884
2017,911
2016,948
2015,980
2014,1056
2013,984
2012,975
2011,957
2010,764
2009,681
2008,647
2007,595
2006,690
2005,584
2004,610
2003,563
2002,587
2001,582
2000,553
1999,533
1998,613
1997,597
1996,544
1995,542
1994,534
1993,494
1992,599
1991,550
1990,534
1989,614
1988,509
1987,648
1986,631
1985,577
1984,598
1983,550
1982,559
1981,508
1980,506
1979,484
1978,491
1977,494
1976,414
1975,391
1974,407
1973,377
1972,390
1971,335
1970,334
1969,355
1968,339
1967,344
1966,384
1965,289
1964,315
1963,230
1962,232
1961,183
1960,155
1959,143
1958,175
1957,159
1956,186
1955,175
1954,149
1953,151
1952,131
1951,126
1950,88
1949,81
1948,87
1947,103
1946,95
1945,29
1941,3
1935,1
1933,1
1931,1
1930,1
1929,1
1928,3
1927,2
1926,2
1925,5
1924,3
1923,4
1922,2
1921,4
1920,1
1919,4
1918,2
1916,2
1915,1
1914,3
1912,1
1910,1
1905,2
1903,2
1902,3
1885,1
1882,1
1880,1
1878,1
1872,1
