"Search query: ((""Schistosoma mansoni""[Title/Abstract] OR "" Schistosoma japonicum""[Title/Abstract] OR "" Schistosoma haematobium""[Title/Abstract] OR ""Schistosoma mekongi""[Title/Abstract] OR "" Schistosoma intercalatum""[Title/Abstract]) OR (""Schistosomiasis""[Title/Abstract] OR ""Bilharzia""[Title/Abstract])) AND (Rodent*[Title/Abstract])"
Year,Count
2023,5
2022,12
2021,6
2020,4
2019,4
2018,2
2017,5
2016,6
2015,9
2014,12
2013,9
2012,5
2011,5
2010,6
2009,7
2008,4
2007,2
2006,7
2005,3
2004,5
2003,5
2002,6
2001,7
2000,6
1999,4
1998,6
1997,6
1996,5
1995,6
1994,6
1993,2
1992,7
1991,6
1990,5
1989,4
1988,1
1987,6
1986,1
1985,3
1984,1
1983,5
1982,5
1981,4
1980,4
1979,3
1978,3
1977,1
1976,1
1975,3
1974,1
1973,1
1969,1
1966,1
1965,1
1964,2
1963,1
1962,3
1961,1
1960,2
1956,1
1955,2
1954,1
1953,4
1952,1
