"Search query: (""Toxoplasmosis""[Title/Abstract]) OR (""Toxoplasma gondii""[Title/Abstract])"
Year,Count
2024,66
2023,1020
2022,1053
2021,1202
2020,1198
2019,1080
2018,954
2017,989
2016,966
2015,939
2014,979
2013,903
2012,894
2011,804
2010,775
2009,723
2008,662
2007,577
2006,534
2005,527
2004,501
2003,469
2002,417
2001,476
2000,416
1999,461
1998,426
1997,433
1996,473
1995,455
1994,411
1993,408
1992,434
1991,405
1990,352
1989,340
1988,274
1987,253
1986,257
1985,242
1984,223
1983,251
1982,196
1981,205
1980,220
1979,197
1978,174
1977,200
1976,204
1975,173
1974,193
1973,175
1972,194
1971,185
1970,166
1969,170
1968,175
1967,154
1966,198
1965,252
1964,259
1963,234
1962,148
1961,171
1960,146
1959,108
1958,131
1957,134
1956,139
1955,114
1954,147
1953,161
1952,132
1951,135
1950,84
1949,56
1948,42
1947,15
1946,15
1945,5
1944,2
1941,1
1940,1
1939,1
