Search query: Toxoplasma gondii OR Toxoplasmosis
Year,Count
2023,431
2022,1189
2021,1344
2020,1338
2019,1208
2018,1025
2017,1078
2016,1081
2015,1031
2014,1069
2013,1015
2012,977
2011,906
2010,854
2009,812
2008,733
2007,643
2006,615
2005,591
2004,580
2003,537
2002,490
2001,550
2000,489
1999,558
1998,511
1997,525
1996,568
1995,547
1994,491
1993,503
1992,531
1991,487
1990,445
1989,424
1988,349
1987,345
1986,345
1985,330
1984,307
1983,346
1982,262
1981,300
1980,278
1979,271
1978,244
1977,278
1976,286
1975,271
1974,313
1973,285
1972,310
1971,293
1970,288
1969,286
1968,274
1967,232
1966,290
1965,290
1964,268
1963,242
1962,154
1961,179
1960,154
1959,111
1958,136
1957,138
1956,145
1955,122
1954,155
1953,169
1952,136
1951,143
1950,87
1949,56
1948,47
1947,17
1946,17
1945,6
1944,2
1943,1
1941,1
1940,1
1939,1
1938,2
1937,2
