Search query: (Plague OR Yersinia pestis) AND Rodent
Year,Count
2023,25
2022,72
2021,84
2020,90
2019,85
2018,83
2017,84
2016,81
2015,88
2014,100
2013,94
2012,119
2011,110
2010,116
2009,124
2008,95
2007,91
2006,78
2005,68
2004,73
2003,58
2002,53
2001,54
2000,47
1999,55
1998,35
1997,50
1996,29
1995,45
1994,36
1993,31
1992,33
1991,29
1990,43
1989,28
1988,23
1987,18
1986,25
1985,32
1984,23
1983,20
1982,26
1981,22
1980,27
1979,24
1978,21
1977,32
1976,27
1975,27
1974,37
1973,32
1972,36
1971,36
1970,24
1969,28
1968,32
1967,27
1966,28
1965,25
1964,29
1963,48
1962,15
1961,11
1960,20
1959,14
1958,19
1957,8
1956,8
1955,8
1954,6
1953,13
1952,5
1951,9
1950,2
1949,5
1948,3
1947,4
1946,4
1939,1
1935,1
1934,1
1928,1
1921,1
1920,2
